source_id,source_title,domain,layer,source_type,source_uri,source_owner,owner_review_status,evidence_grade,workspace,version,collected_at,hash_sha256,record_count,pii_level,license_status,allowed_agents,blocked_actions,intake_status,notes
SRC-SCM-001,Inventory metric dictionary,supply-chain-kb,metrics-and-data,metric_dictionary,pending://scm/inventory-metric-dictionary,scm_data_owner,pending_review,A,scm-p1,2026-06-18,2026-06-18,pending,unknown,none,not_applicable,replenishment-agent,"create_purchase_order;update_inventory;change_forecast;write_erp",source_intake_pending,"P0 source. Must define planned in-transit available allocated frozen on-hand good defective inventory."
SRC-SCM-002,ERP WMS inventory field dictionary,supply-chain-kb,crosswalk,field_dictionary,pending://erp-wms/inventory-field-dictionary,erp_system_owner,pending_review,A,scm-p1,2026-06-18,2026-06-18,pending,unknown,low,not_applicable,replenishment-agent,"update_inventory;write_erp",source_intake_pending,"P0 source. Must map business terms to ERP/WMS fields and grains."
SRC-SCM-003,Replenishment SOP,supply-chain-kb,operations,approved_sop,pending://scm/replenishment-sop,scm_ops_owner,pending_review,B,scm-p1,2026-06-18,2026-06-18,pending,unknown,none,not_applicable,replenishment-agent,"create_purchase_order;send_supplier_message;write_erp",source_intake_pending,"P0 source. Must define approval thresholds and blocked actions."
SRC-SCM-004,Inventory aging report sample,supply-chain-kb,metrics-and-data,erp_export,pending://erp/inventory-aging-report,erp_system_owner,pending_review,A,scm-p1,2026-06-18,2026-06-18,pending,unknown,low,not_applicable,replenishment-agent,"update_inventory;write_erp",source_intake_pending,"Needed for stock age and slow-moving diagnosis."
SRC-SCM-005,Stock movement ledger sample,supply-chain-kb,metrics-and-data,erp_export,pending://erp/stock-movement-ledger,erp_system_owner,pending_review,A,scm-p1,2026-06-18,2026-06-18,pending,unknown,low,not_applicable,replenishment-agent,"update_inventory;write_erp",source_intake_pending,"Needed for inventory inflow outflow trace."
SRC-SCM-006,In-transit inventory report sample,supply-chain-kb,metrics-and-data,erp_export,pending://erp/in-transit-inventory-report,erp_system_owner,pending_review,A,scm-p1,2026-06-18,2026-06-18,pending,unknown,low,not_applicable,replenishment-agent,"change_forecast;write_erp",source_intake_pending,"Needed for inbound and transfer ETA reasoning."
SRC-SCM-007,Open purchase order report sample,supply-chain-kb,metrics-and-data,erp_export,pending://erp/open-purchase-order-report,procurement_owner,pending_review,A,scm-p1,2026-06-18,2026-06-18,pending,unknown,low,not_applicable,replenishment-agent,"create_purchase_order;send_supplier_message;write_erp",source_intake_pending,"Needed to prevent duplicate purchase recommendations."
SRC-SCM-008,Sales forecast export sample,supply-chain-kb,metrics-and-data,erp_export,pending://bi/sales-forecast-export,forecast_owner,pending_review,A,scm-p1,2026-06-18,2026-06-18,pending,unknown,low,not_applicable,replenishment-agent,"change_forecast;write_erp",source_intake_pending,"Needed for days-of-cover and replenishment reasoning."
SRC-SCM-009,Supplier lead-time table,supply-chain-kb,metrics-and-data,field_dictionary,pending://scm/supplier-lead-time-table,procurement_owner,pending_review,B,scm-p1,2026-06-18,2026-06-18,pending,unknown,none,not_applicable,replenishment-agent,"send_supplier_message;create_purchase_order",source_intake_pending,"Needed for ETA and reorder timing."
SRC-SCM-010,Warehouse master data,supply-chain-kb,crosswalk,field_dictionary,pending://wms/warehouse-master-data,wms_owner,pending_review,A,scm-p1,2026-06-18,2026-06-18,pending,unknown,low,not_applicable,replenishment-agent,"write_erp;update_inventory",source_intake_pending,"Needed for warehouse IDs ownership and channel mapping."
SRC-SCM-011,SKU warehouse stock snapshot,supply-chain-kb,metrics-and-data,erp_export,pending://wms/sku-warehouse-stock-snapshot,wms_owner,pending_review,A,scm-p1,2026-06-18,2026-06-18,pending,unknown,low,not_applicable,replenishment-agent,"update_inventory;write_erp",source_intake_pending,"Needed for SKU x warehouse x date grain."
SRC-SCM-012,Frozen inventory rule,supply-chain-kb,operations,approved_sop,pending://scm/frozen-inventory-rule,scm_ops_owner,pending_review,B,scm-p1,2026-06-18,2026-06-18,pending,unknown,none,not_applicable,replenishment-agent,"update_inventory;write_erp",source_intake_pending,"Defines whether frozen stock can count as available inventory."
SRC-SCM-013,Allocated inventory rule,supply-chain-kb,operations,approved_sop,pending://scm/allocated-inventory-rule,scm_ops_owner,pending_review,B,scm-p1,2026-06-18,2026-06-18,pending,unknown,none,not_applicable,replenishment-agent,"update_inventory;write_erp",source_intake_pending,"Defines reserved/pre-occupied inventory treatment."
SRC-SCM-014,Safety stock policy,supply-chain-kb,operations,approved_sop,pending://scm/safety-stock-policy,scm_ops_owner,pending_review,B,scm-p1,2026-06-18,2026-06-18,pending,unknown,none,not_applicable,replenishment-agent,"change_forecast;create_purchase_order",source_intake_pending,"Needed for reorder alerts and threshold reasoning."
SRC-SCM-015,Reorder point and min-max policy,supply-chain-kb,operations,approved_sop,pending://scm/reorder-point-min-max-policy,scm_ops_owner,pending_review,B,scm-p1,2026-06-18,2026-06-18,pending,unknown,none,not_applicable,replenishment-agent,"change_forecast;create_purchase_order",source_intake_pending,"Needed for recommended replenishment quantities but only as readonly advice."
SRC-SCM-016,Stockout exception SOP,supply-chain-kb,operations,approved_sop,pending://scm/stockout-exception-sop,scm_ops_owner,pending_review,B,scm-p1,2026-06-18,2026-06-18,pending,unknown,none,not_applicable,replenishment-agent,"create_purchase_order;send_supplier_message;write_erp",source_intake_pending,"Needed for stockout diagnosis and escalation."
SRC-SCM-017,Slow-moving inventory SOP,supply-chain-kb,operations,approved_sop,pending://scm/slow-moving-inventory-sop,scm_ops_owner,pending_review,B,scm-p1,2026-06-18,2026-06-18,pending,unknown,none,not_applicable,replenishment-agent,"update_inventory;change_forecast;write_erp",source_intake_pending,"Needed for stock age and slow-moving responses."
SRC-SCM-018,Transfer order SOP,supply-chain-kb,operations,approved_sop,pending://scm/transfer-order-sop,scm_ops_owner,pending_review,B,scm-p1,2026-06-18,2026-06-18,pending,unknown,none,not_applicable,replenishment-agent,"update_inventory;write_erp;send_supplier_message",source_intake_pending,"Needed for warehouse transfer recommendations."
SRC-SCM-019,Defective inventory handling SOP,supply-chain-kb,operations,approved_sop,pending://scm/defective-inventory-handling-sop,quality_owner,pending_review,B,scm-p1,2026-06-18,2026-06-18,pending,unknown,none,not_applicable,replenishment-agent,"update_inventory;write_erp",source_intake_pending,"Defines 不良品库存 handling and saleability."
SRC-SCM-020,Replenishment approval matrix,supply-chain-kb,governance,approved_sop,pending://scm/replenishment-approval-matrix,scm_ops_owner,pending_review,B,scm-p1,2026-06-18,2026-06-18,pending,unknown,none,not_applicable,replenishment-agent,"create_purchase_order;send_supplier_message;write_erp",source_intake_pending,"Needed for approval thresholds and human review gate."
SRC-SCM-021,FBA FBT inventory export sample,supply-chain-kb,metrics-and-data,erp_export,pending://channel/fba-fbt-inventory-export,channel_ops_owner,pending_review,A,scm-p1,2026-06-18,2026-06-18,pending,unknown,low,not_applicable,replenishment-agent,"update_inventory;write_erp",source_intake_pending,"Needed for platform warehouse inventory reasoning."
SRC-SCM-022,Walmart inventory export sample,supply-chain-kb,metrics-and-data,erp_export,pending://channel/walmart-inventory-export,channel_ops_owner,pending_review,A,scm-p1,2026-06-18,2026-06-18,pending,unknown,low,not_applicable,replenishment-agent,"update_inventory;write_erp",source_intake_pending,"Needed for Walmart channel stock comparison."
