review_item_id,source_id,source_title,source_owner,included_in_all_extractable,current_license_status,current_owner_review_status,evidence_grade,workspace,source_type,source_suffix,duplicate_policy,high_risk_flags,blocked_actions,hash_sha256,review_action_options,review_instruction,current_decision,production_impact,provider_call_boundary,live_kb_ingestion
LEGAL-SRC-CONSULT-016-20260619,SRC-CONSULT-016,B2B Go to Market Strategy Handbook,李梁,false,pending_legal_review,pending_review,C,consultant-p1,external_reference,.epub,secondary_to_pdf_duplicate,source_redistribution_restricted,publish_client_deliverable|send_client_email|submit_rfp|commit_budget|approve_transaction|redistribute_source_text|expose_pii,c21805b294a3fe01dfcca34fff1d8b7471b1326a23b0659efb20189f1494b20f,approve_internal_staging_retrieval|approve_local_only|quarantine_source|reject_source|needs_discussion|pending_review,"Confirm legal and source-owner status for internal no-provider staging. Do not approve raw source redistribution, provider generation, live KB writes, or client-ready publication through this decision file.",pending_review,production unchanged,no KB provider call,no live KB ingestion
LEGAL-SRC-CONSULT-017-20260619,SRC-CONSULT-017,B2B Go to Market Strategy Handbook,李梁,true,pending_legal_review,pending_review,C,consultant-p1,external_reference,.pdf,prefer_pdf_for_page_anchors,source_redistribution_restricted,publish_client_deliverable|send_client_email|submit_rfp|commit_budget|approve_transaction|redistribute_source_text|expose_pii,5f51b257a3efdab8dbf9e8f21898d39abb75425eb6568ce38907c464a4972a50,approve_internal_staging_retrieval|approve_local_only|quarantine_source|reject_source|needs_discussion|pending_review,"Confirm legal and source-owner status for internal no-provider staging. Do not approve raw source redistribution, provider generation, live KB writes, or client-ready publication through this decision file.",pending_review,production unchanged,no KB provider call,no live KB ingestion
LEGAL-SRC-CONSULT-018-20260619,SRC-CONSULT-018,Business Plan Playbook,李梁,true,pending_legal_review,pending_review,C,consultant-p1,external_reference,.pdf,not_duplicate,source_redistribution_restricted,publish_client_deliverable|send_client_email|submit_rfp|commit_budget|approve_transaction|redistribute_source_text|expose_pii,94527df2d6713764ba15e771c691f733eb083c00ffadb762df711499445195a7,approve_internal_staging_retrieval|approve_local_only|quarantine_source|reject_source|needs_discussion|pending_review,"Confirm legal and source-owner status for internal no-provider staging. Do not approve raw source redistribution, provider generation, live KB writes, or client-ready publication through this decision file.",pending_review,production unchanged,no KB provider call,no live KB ingestion
LEGAL-SRC-CONSULT-019-20260619,SRC-CONSULT-019,Busy Consultants Guide to PowerPoint,李梁,true,pending_legal_review,pending_review,C,consultant-p1,external_reference,.pptx,not_duplicate,none,publish_client_deliverable|send_client_email|submit_rfp|commit_budget|approve_transaction|redistribute_source_text|expose_pii,4a72ef03e03b4cda5bf0394f6f8c88c6a1aa22904493dddcf60ade62e9bafa84,approve_internal_staging_retrieval|approve_local_only|quarantine_source|reject_source|needs_discussion|pending_review,"Confirm legal and source-owner status for internal no-provider staging. Do not approve raw source redistribution, provider generation, live KB writes, or client-ready publication through this decision file.",pending_review,production unchanged,no KB provider call,no live KB ingestion
LEGAL-SRC-CONSULT-020-20260619,SRC-CONSULT-020,Career Services Guide to Consulting,李梁,true,pending_legal_review,pending_review,C,consultant-p1,external_reference,.pdf,not_duplicate,source_redistribution_restricted,publish_client_deliverable|send_client_email|submit_rfp|commit_budget|approve_transaction|redistribute_source_text|expose_pii,2f0961b6effc92c6c442ad44739f1fd0f0f47889b89ba58239be57952999e251,approve_internal_staging_retrieval|approve_local_only|quarantine_source|reject_source|needs_discussion|pending_review,"Confirm legal and source-owner status for internal no-provider staging. Do not approve raw source redistribution, provider generation, live KB writes, or client-ready publication through this decision file.",pending_review,production unchanged,no KB provider call,no live KB ingestion
LEGAL-SRC-CONSULT-021-20260619,SRC-CONSULT-021,Chief Strategy Officer Handbook,李梁,true,pending_legal_review,pending_review,C,consultant-p1,external_reference,.pdf,not_duplicate,source_redistribution_restricted,publish_client_deliverable|send_client_email|submit_rfp|commit_budget|approve_transaction|redistribute_source_text|expose_pii,03bbb9ce680e0dfa008f036aad3ae800d01a23302c02ed56394d42bc0fc215a6,approve_internal_staging_retrieval|approve_local_only|quarantine_source|reject_source|needs_discussion|pending_review,"Confirm legal and source-owner status for internal no-provider staging. Do not approve raw source redistribution, provider generation, live KB writes, or client-ready publication through this decision file.",pending_review,production unchanged,no KB provider call,no live KB ingestion
LEGAL-SRC-CONSULT-010-20260619,SRC-CONSULT-010,Commercial Due Diligence Playbook 2024,李梁,true,pending_legal_review,owner_reviewed,C,consultant-p1,external_reference,.pdf,not_duplicate,transaction_or_investment_context;source_redistribution_restricted,publish_client_deliverable|send_client_email|submit_rfp|commit_budget|approve_transaction|redistribute_source_text|expose_pii,1cbbe17a4cd9cbacae3e41533255335a2178a5a062b4df9ae354e8abc9a3e32f,approve_internal_staging_retrieval|approve_local_only|quarantine_source|reject_source|needs_discussion|pending_review,"Confirm legal and source-owner status for internal no-provider staging. Do not approve raw source redistribution, provider generation, live KB writes, or client-ready publication through this decision file.",pending_review,production unchanged,no KB provider call,no live KB ingestion
LEGAL-SRC-CONSULT-022-20260619,SRC-CONSULT-022,Company Culture Diagnostic Guide,李梁,true,pending_legal_review,pending_review,C,consultant-p1,external_reference,.pdf,not_duplicate,source_redistribution_restricted,publish_client_deliverable|send_client_email|submit_rfp|commit_budget|approve_transaction|redistribute_source_text|expose_pii,c2bddbf3a60e0d931ae03c26d73a5d6e671b59bfdb27e475b8ee81e15255dd95,approve_internal_staging_retrieval|approve_local_only|quarantine_source|reject_source|needs_discussion|pending_review,"Confirm legal and source-owner status for internal no-provider staging. Do not approve raw source redistribution, provider generation, live KB writes, or client-ready publication through this decision file.",pending_review,production unchanged,no KB provider call,no live KB ingestion
LEGAL-SRC-CONSULT-023-20260619,SRC-CONSULT-023,Competitive Intelligence Playbook v3 2024,李梁,true,pending_legal_review,pending_review,C,consultant-p1,external_reference,.pdf,not_duplicate,source_redistribution_restricted,publish_client_deliverable|send_client_email|submit_rfp|commit_budget|approve_transaction|redistribute_source_text|expose_pii,2a8b43b3001d530f2edb5b814938022af827427e2193f033ed2aab9b29283c9c,approve_internal_staging_retrieval|approve_local_only|quarantine_source|reject_source|needs_discussion|pending_review,"Confirm legal and source-owner status for internal no-provider staging. Do not approve raw source redistribution, provider generation, live KB writes, or client-ready publication through this decision file.",pending_review,production unchanged,no KB provider call,no live KB ingestion
LEGAL-SRC-CONSULT-002-20260619,SRC-CONSULT-002,Consulting Frameworks Toolkit from Umbrex,李梁,true,pending_legal_review,owner_reviewed,C,consultant-p1,external_reference,.pptx,not_duplicate,transaction_or_investment_context,publish_client_deliverable|send_client_email|submit_rfp|commit_budget|approve_transaction|redistribute_source_text|expose_pii,c2ea7901b85eb27160192ce4b8cf6742a15765e9cef8cc6632e4527d4fa9352a,approve_internal_staging_retrieval|approve_local_only|quarantine_source|reject_source|needs_discussion|pending_review,"Confirm legal and source-owner status for internal no-provider staging. Do not approve raw source redistribution, provider generation, live KB writes, or client-ready publication through this decision file.",pending_review,production unchanged,no KB provider call,no live KB ingestion
LEGAL-SRC-CONSULT-024-20260619,SRC-CONSULT-024,Consumer & Retail,李梁,true,pending_legal_review,pending_review,C,consultant-p1,external_reference,.pdf,not_duplicate,source_redistribution_restricted,publish_client_deliverable|send_client_email|submit_rfp|commit_budget|approve_transaction|redistribute_source_text|expose_pii,50767e99027493469accd87d9bdc695292be32c6b75fe257ddd7fc615536cce6,approve_internal_staging_retrieval|approve_local_only|quarantine_source|reject_source|needs_discussion|pending_review,"Confirm legal and source-owner status for internal no-provider staging. Do not approve raw source redistribution, provider generation, live KB writes, or client-ready publication through this decision file.",pending_review,production unchanged,no KB provider call,no live KB ingestion
