lane,item_id,title,required_decision,current_status,required_reviewer,required_evidence,blocks_shared_staging,repository_boundary
legal_source_owner,SRC-CONSULT-017,B2B Go to Market Strategy Handbook,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-018,Business Plan Playbook,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-019,Busy Consultants Guide to PowerPoint,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-020,Career Services Guide to Consulting,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-021,Chief Strategy Officer Handbook,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-010,Commercial Due Diligence Playbook 2024,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-022,Company Culture Diagnostic Guide,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-023,Competitive Intelligence Playbook v3 2024,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-002,Consulting Frameworks Toolkit from Umbrex,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-024,Consumer & Retail,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-025,Create Your Own Internship,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-026,Email Deliverability Playbook First Edition,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-027,Executive Handover Playbook,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-004,Executive Summary Slides from Umbrex,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-028,Finance Department The Umbrex Diagnostic Guide,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-029,Getting Started with Advanced Data Analysis in ChatGPT v2023 10 02,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-030,Patagonia and TNF jacket search,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-031,UNRATE,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-032,Healthcare & Life Sciences,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-033,How The Professional & Business Services Industr,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-034,How Waste Management & Sustainability Works,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-035,How the Aerospace & Defense Industry Works,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
