source_id,source_title,selection_status,selection_group,extraction_batch,duplicate_policy,license_status,owner_review_status,intake_status,selection_reason
SRC-CONSULT-001,McKinsey Approach to Problem Solving from Umbrex,selected,retained_all_extractable,batch-01-delivery-craft,not_duplicate,pending_legal_review,owner_reviewed,ready_for_poc,retained from previous all-extractable local expansion
SRC-CONSULT-002,Consulting Frameworks Toolkit from Umbrex,selected,retained_all_extractable,batch-01-methodology-playbooks,not_duplicate,pending_legal_review,owner_reviewed,ready_for_poc,retained from previous all-extractable local expansion
SRC-CONSULT-003,Project Kickoff Toolkit from Umbrex,selected,retained_all_extractable,batch-01-methodology-playbooks,not_duplicate,pending_legal_review,owner_reviewed,ready_for_poc,retained from previous all-extractable local expansion
SRC-CONSULT-004,Executive Summary Slides from Umbrex,selected,retained_all_extractable,batch-01-delivery-craft,not_duplicate,pending_legal_review,owner_reviewed,ready_for_poc,retained from previous all-extractable local expansion
SRC-CONSULT-005,Proposal template for a consulting project,selected,retained_all_extractable,batch-06-client-development,not_duplicate,pending_legal_review,owner_reviewed,ready_for_poc,retained from previous all-extractable local expansion
SRC-CONSULT-006,RFP Playbook,selected,retained_all_extractable,batch-06-client-development,not_duplicate,pending_legal_review,owner_reviewed,ready_for_poc,retained from previous all-extractable local expansion
SRC-CONSULT-007,Supply Chain Diagnostic Guide,selected,retained_all_extractable,batch-02-diagnostics,not_duplicate,pending_legal_review,owner_reviewed,ready_for_poc,retained from previous all-extractable local expansion
SRC-CONSULT-008,Umbrex Business Analytics Diagnostic Guide,selected,retained_all_extractable,batch-02-diagnostics,not_duplicate,pending_legal_review,owner_reviewed,ready_for_poc,retained from previous all-extractable local expansion
SRC-CONSULT-009,Umbrex Customer Experience Diagnostic Guide,selected,retained_all_extractable,batch-02-diagnostics,not_duplicate,pending_legal_review,owner_reviewed,ready_for_poc,retained from previous all-extractable local expansion
SRC-CONSULT-010,Commercial Due Diligence Playbook 2024,selected,retained_all_extractable,batch-04-transaction-advisory,not_duplicate,pending_legal_review,owner_reviewed,ready_for_poc,retained from previous all-extractable local expansion
