source_id,source_title,selection_group,extraction_batch,duplicate_policy,license_status,owner_review_status,intake_status,selection_reason
SRC-CONSULT-001,McKinsey Approach to Problem Solving from Umbrex,p1_seed,batch-01-delivery-craft,not_duplicate,pending_legal_review,owner_reviewed,ready_for_poc,existing P1 source retained
SRC-CONSULT-002,Consulting Frameworks Toolkit from Umbrex,p1_seed,batch-01-methodology-playbooks,not_duplicate,pending_legal_review,owner_reviewed,ready_for_poc,existing P1 source retained
SRC-CONSULT-003,Project Kickoff Toolkit from Umbrex,p1_seed,batch-01-methodology-playbooks,not_duplicate,pending_legal_review,owner_reviewed,ready_for_poc,existing P1 source retained
SRC-CONSULT-004,Executive Summary Slides from Umbrex,p1_seed,batch-01-delivery-craft,not_duplicate,pending_legal_review,owner_reviewed,ready_for_poc,existing P1 source retained
SRC-CONSULT-005,Proposal template for a consulting project,p1_seed,batch-06-client-development,not_duplicate,pending_legal_review,owner_reviewed,ready_for_poc,existing P1 source retained
SRC-CONSULT-006,RFP Playbook,p1_seed,batch-06-client-development,not_duplicate,pending_legal_review,owner_reviewed,ready_for_poc,existing P1 source retained
SRC-CONSULT-007,Supply Chain Diagnostic Guide,p1_seed,batch-02-diagnostics,not_duplicate,pending_legal_review,owner_reviewed,ready_for_poc,existing P1 source retained
SRC-CONSULT-008,Umbrex Business Analytics Diagnostic Guide,p1_seed,batch-02-diagnostics,not_duplicate,pending_legal_review,owner_reviewed,ready_for_poc,existing P1 source retained
SRC-CONSULT-009,Umbrex Customer Experience Diagnostic Guide,p1_seed,batch-02-diagnostics,not_duplicate,pending_legal_review,owner_reviewed,ready_for_poc,existing P1 source retained
SRC-CONSULT-010,Commercial Due Diligence Playbook 2024,p1_seed,batch-04-transaction-advisory,not_duplicate,pending_legal_review,owner_reviewed,ready_for_poc,existing P1 source retained
SRC-CONSULT-011,Operational Due Diligence Playbook,p1_seed,batch-04-transaction-advisory,not_duplicate,pending_legal_review,owner_reviewed,ready_for_poc,existing P1 source retained
SRC-CONSULT-012,Post merger integration playbook,p1_seed,batch-04-transaction-advisory,not_duplicate,pending_legal_review,owner_reviewed,ready_for_poc,existing P1 source retained
SRC-CONSULT-013,The Umbrex Library of Functional Key Performance,p1_seed,batch-05-reference-data,not_duplicate,pending_legal_review,owner_reviewed,ready_for_poc,existing P1 source retained
SRC-CONSULT-014,Umbrex Library of Industry-specific KPIs,p1_seed,batch-05-reference-data,not_duplicate,pending_legal_review,owner_reviewed,ready_for_poc,existing P1 source retained
SRC-CONSULT-015,The Umbrex Library of Industry Acronyms,p1_seed,batch-05-reference-data,not_duplicate,pending_legal_review,owner_reviewed,ready_for_poc,existing P1 source retained
SRC-CONSULT-017,B2B Go to Market Strategy Handbook,batch30_addition,batch-01-methodology-playbooks,prefer_pdf_for_page_anchors,pending_legal_review,pending_review,registered,adds high-value consulting workflow coverage while avoiding duplicate EPUB/PDF pair where possible
SRC-CONSULT-018,Business Plan Playbook,batch30_addition,batch-01-methodology-playbooks,not_duplicate,pending_legal_review,pending_review,registered,adds high-value consulting workflow coverage while avoiding duplicate EPUB/PDF pair where possible
SRC-CONSULT-019,Busy Consultants Guide to PowerPoint,batch30_addition,batch-01-delivery-craft,not_duplicate,pending_legal_review,pending_review,registered,adds high-value consulting workflow coverage while avoiding duplicate EPUB/PDF pair where possible
SRC-CONSULT-020,Career Services Guide to Consulting,batch30_addition,batch-06-client-development,not_duplicate,pending_legal_review,pending_review,registered,adds high-value consulting workflow coverage while avoiding duplicate EPUB/PDF pair where possible
SRC-CONSULT-021,Chief Strategy Officer Handbook,batch30_addition,batch-01-methodology-playbooks,not_duplicate,pending_legal_review,pending_review,registered,adds high-value consulting workflow coverage while avoiding duplicate EPUB/PDF pair where possible
SRC-CONSULT-022,Company Culture Diagnostic Guide,batch30_addition,batch-02-diagnostics,not_duplicate,pending_legal_review,pending_review,registered,adds high-value consulting workflow coverage while avoiding duplicate EPUB/PDF pair where possible
SRC-CONSULT-023,Competitive Intelligence Playbook v3 2024,batch30_addition,batch-01-methodology-playbooks,not_duplicate,pending_legal_review,pending_review,registered,adds high-value consulting workflow coverage while avoiding duplicate EPUB/PDF pair where possible
SRC-CONSULT-027,Executive Handover Playbook,batch30_addition,batch-01-methodology-playbooks,not_duplicate,pending_legal_review,pending_review,registered,adds high-value consulting workflow coverage while avoiding duplicate EPUB/PDF pair where possible
