lane,questionnaire_item_id,target_id,target_title,source_owner,control_area,question,choice_options,default_choice,current_decision,required_reviewer,required_evidence,official_template_path,official_decision_id,choice_to_template_mapping,reviewer_response,reviewer_name,legal_reviewer,source_owner_reviewer,security_reviewer,ops_reviewer,reviewed_at,reviewer_notes,evidence_uri,source_type,evidence_grade,workspace,high_risk_flags,blocked_actions,repository_boundary,secret_redaction_boundary,approval_effect,validation_command
legal_source_owner,Q-LEGAL-SRC-CONSULT-017-20260619,SRC-CONSULT-017,B2B Go to Market Strategy Handbook,李梁,,是否允许 SRC-CONSULT-017（B2B Go to Market Strategy Handbook）进入 internal no-provider staging retrieval？如不允许，请选择 local-only、quarantine、reject、needs_discussion 或 pending_review。,approve_internal_staging_retrieval|approve_local_only|quarantine_source|reject_source|needs_discussion|pending_review,pending_review,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,shared/governance/consultant-agent/legal-source-owner-decisions.template-20260619.jsonl,LEGAL-SRC-CONSULT-017-20260619,"{""approve_internal_staging_retrieval"":{""decision"":""approve_internal_staging_retrieval"",""legal_decision"":""approved"",""source_owner_decision"":""approved"",""license_status_decision"":""approved_internal_staging_no_provider"",""allowed_runtime_scope"":""internal_no_provider_staging""},""approve_local_only"":{""decision"":""approve_local_only"",""legal_decision"":""approved"",""source_owner_decision"":""approved"",""license_status_decision"":""restricted_local_only"",""allowed_runtime_scope"":""local_draft_only""},""quarantine_source"":{""decision"":""quarantine_source"",""legal_decision"":""needs_discussion"",""source_owner_decision"":""needs_discussion"",""license_status_decision"":""needs_discussion"",""allowed_runtime_scope"":""none""},""reject_source"":{""decision"":""reject_source"",""legal_decision"":""rejected"",""source_owner_decision"":""rejected"",""license_status_decision"":""rejected"",""allowed_runtime_scope"":""none""},""needs_discussion"":{""decision"":""needs_discussion"",""legal_decision"":""needs_discussion"",""source_owner_decision"":""needs_discussion"",""license_status_decision"":""needs_discussion"",""allowed_runtime_scope"":""none""},""pending_review"":{""decision"":""pending_review"",""legal_decision"":""pending_review"",""source_owner_decision"":""pending_review"",""license_status_decision"":""pending_legal_review"",""allowed_runtime_scope"":""none""}}",,,,,,,,,,external_reference,C,consultant-p1,source_redistribution_restricted,publish_client_deliverable|send_client_email|submit_rfp|commit_budget|approve_transaction|redistribute_source_text|expose_pii,production unchanged; no KB provider call; no live KB ingestion; no raw source redistribution; no staging deployment,"do not store secret values, raw tokens, passwords, private keys, or private contact details in this repository",none_questionnaire_only,python3 tmp/consultant_role_kb_manual_decision_intake_preflight_20260619.py
legal_source_owner,Q-LEGAL-SRC-CONSULT-018-20260619,SRC-CONSULT-018,Business Plan Playbook,李梁,,是否允许 SRC-CONSULT-018（Business Plan Playbook）进入 internal no-provider staging retrieval？如不允许，请选择 local-only、quarantine、reject、needs_discussion 或 pending_review。,approve_internal_staging_retrieval|approve_local_only|quarantine_source|reject_source|needs_discussion|pending_review,pending_review,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,shared/governance/consultant-agent/legal-source-owner-decisions.template-20260619.jsonl,LEGAL-SRC-CONSULT-018-20260619,"{""approve_internal_staging_retrieval"":{""decision"":""approve_internal_staging_retrieval"",""legal_decision"":""approved"",""source_owner_decision"":""approved"",""license_status_decision"":""approved_internal_staging_no_provider"",""allowed_runtime_scope"":""internal_no_provider_staging""},""approve_local_only"":{""decision"":""approve_local_only"",""legal_decision"":""approved"",""source_owner_decision"":""approved"",""license_status_decision"":""restricted_local_only"",""allowed_runtime_scope"":""local_draft_only""},""quarantine_source"":{""decision"":""quarantine_source"",""legal_decision"":""needs_discussion"",""source_owner_decision"":""needs_discussion"",""license_status_decision"":""needs_discussion"",""allowed_runtime_scope"":""none""},""reject_source"":{""decision"":""reject_source"",""legal_decision"":""rejected"",""source_owner_decision"":""rejected"",""license_status_decision"":""rejected"",""allowed_runtime_scope"":""none""},""needs_discussion"":{""decision"":""needs_discussion"",""legal_decision"":""needs_discussion"",""source_owner_decision"":""needs_discussion"",""license_status_decision"":""needs_discussion"",""allowed_runtime_scope"":""none""},""pending_review"":{""decision"":""pending_review"",""legal_decision"":""pending_review"",""source_owner_decision"":""pending_review"",""license_status_decision"":""pending_legal_review"",""allowed_runtime_scope"":""none""}}",,,,,,,,,,external_reference,C,consultant-p1,source_redistribution_restricted,publish_client_deliverable|send_client_email|submit_rfp|commit_budget|approve_transaction|redistribute_source_text|expose_pii,production unchanged; no KB provider call; no live KB ingestion; no raw source redistribution; no staging deployment,"do not store secret values, raw tokens, passwords, private keys, or private contact details in this repository",none_questionnaire_only,python3 tmp/consultant_role_kb_manual_decision_intake_preflight_20260619.py
legal_source_owner,Q-LEGAL-SRC-CONSULT-019-20260619,SRC-CONSULT-019,Busy Consultants Guide to PowerPoint,李梁,,是否允许 SRC-CONSULT-019（Busy Consultants Guide to PowerPoint）进入 internal no-provider staging retrieval？如不允许，请选择 local-only、quarantine、reject、needs_discussion 或 pending_review。,approve_internal_staging_retrieval|approve_local_only|quarantine_source|reject_source|needs_discussion|pending_review,pending_review,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,shared/governance/consultant-agent/legal-source-owner-decisions.template-20260619.jsonl,LEGAL-SRC-CONSULT-019-20260619,"{""approve_internal_staging_retrieval"":{""decision"":""approve_internal_staging_retrieval"",""legal_decision"":""approved"",""source_owner_decision"":""approved"",""license_status_decision"":""approved_internal_staging_no_provider"",""allowed_runtime_scope"":""internal_no_provider_staging""},""approve_local_only"":{""decision"":""approve_local_only"",""legal_decision"":""approved"",""source_owner_decision"":""approved"",""license_status_decision"":""restricted_local_only"",""allowed_runtime_scope"":""local_draft_only""},""quarantine_source"":{""decision"":""quarantine_source"",""legal_decision"":""needs_discussion"",""source_owner_decision"":""needs_discussion"",""license_status_decision"":""needs_discussion"",""allowed_runtime_scope"":""none""},""reject_source"":{""decision"":""reject_source"",""legal_decision"":""rejected"",""source_owner_decision"":""rejected"",""license_status_decision"":""rejected"",""allowed_runtime_scope"":""none""},""needs_discussion"":{""decision"":""needs_discussion"",""legal_decision"":""needs_discussion"",""source_owner_decision"":""needs_discussion"",""license_status_decision"":""needs_discussion"",""allowed_runtime_scope"":""none""},""pending_review"":{""decision"":""pending_review"",""legal_decision"":""pending_review"",""source_owner_decision"":""pending_review"",""license_status_decision"":""pending_legal_review"",""allowed_runtime_scope"":""none""}}",,,,,,,,,,external_reference,C,consultant-p1,none,publish_client_deliverable|send_client_email|submit_rfp|commit_budget|approve_transaction|redistribute_source_text|expose_pii,production unchanged; no KB provider call; no live KB ingestion; no raw source redistribution; no staging deployment,"do not store secret values, raw tokens, passwords, private keys, or private contact details in this repository",none_questionnaire_only,python3 tmp/consultant_role_kb_manual_decision_intake_preflight_20260619.py
legal_source_owner,Q-LEGAL-SRC-CONSULT-020-20260619,SRC-CONSULT-020,Career Services Guide to Consulting,李梁,,是否允许 SRC-CONSULT-020（Career Services Guide to Consulting）进入 internal no-provider staging retrieval？如不允许，请选择 local-only、quarantine、reject、needs_discussion 或 pending_review。,approve_internal_staging_retrieval|approve_local_only|quarantine_source|reject_source|needs_discussion|pending_review,pending_review,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,shared/governance/consultant-agent/legal-source-owner-decisions.template-20260619.jsonl,LEGAL-SRC-CONSULT-020-20260619,"{""approve_internal_staging_retrieval"":{""decision"":""approve_internal_staging_retrieval"",""legal_decision"":""approved"",""source_owner_decision"":""approved"",""license_status_decision"":""approved_internal_staging_no_provider"",""allowed_runtime_scope"":""internal_no_provider_staging""},""approve_local_only"":{""decision"":""approve_local_only"",""legal_decision"":""approved"",""source_owner_decision"":""approved"",""license_status_decision"":""restricted_local_only"",""allowed_runtime_scope"":""local_draft_only""},""quarantine_source"":{""decision"":""quarantine_source"",""legal_decision"":""needs_discussion"",""source_owner_decision"":""needs_discussion"",""license_status_decision"":""needs_discussion"",""allowed_runtime_scope"":""none""},""reject_source"":{""decision"":""reject_source"",""legal_decision"":""rejected"",""source_owner_decision"":""rejected"",""license_status_decision"":""rejected"",""allowed_runtime_scope"":""none""},""needs_discussion"":{""decision"":""needs_discussion"",""legal_decision"":""needs_discussion"",""source_owner_decision"":""needs_discussion"",""license_status_decision"":""needs_discussion"",""allowed_runtime_scope"":""none""},""pending_review"":{""decision"":""pending_review"",""legal_decision"":""pending_review"",""source_owner_decision"":""pending_review"",""license_status_decision"":""pending_legal_review"",""allowed_runtime_scope"":""none""}}",,,,,,,,,,external_reference,C,consultant-p1,source_redistribution_restricted,publish_client_deliverable|send_client_email|submit_rfp|commit_budget|approve_transaction|redistribute_source_text|expose_pii,production unchanged; no KB provider call; no live KB ingestion; no raw source redistribution; no staging deployment,"do not store secret values, raw tokens, passwords, private keys, or private contact details in this repository",none_questionnaire_only,python3 tmp/consultant_role_kb_manual_decision_intake_preflight_20260619.py
legal_source_owner,Q-LEGAL-SRC-CONSULT-021-20260619,SRC-CONSULT-021,Chief Strategy Officer Handbook,李梁,,是否允许 SRC-CONSULT-021（Chief Strategy Officer Handbook）进入 internal no-provider staging retrieval？如不允许，请选择 local-only、quarantine、reject、needs_discussion 或 pending_review。,approve_internal_staging_retrieval|approve_local_only|quarantine_source|reject_source|needs_discussion|pending_review,pending_review,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,shared/governance/consultant-agent/legal-source-owner-decisions.template-20260619.jsonl,LEGAL-SRC-CONSULT-021-20260619,"{""approve_internal_staging_retrieval"":{""decision"":""approve_internal_staging_retrieval"",""legal_decision"":""approved"",""source_owner_decision"":""approved"",""license_status_decision"":""approved_internal_staging_no_provider"",""allowed_runtime_scope"":""internal_no_provider_staging""},""approve_local_only"":{""decision"":""approve_local_only"",""legal_decision"":""approved"",""source_owner_decision"":""approved"",""license_status_decision"":""restricted_local_only"",""allowed_runtime_scope"":""local_draft_only""},""quarantine_source"":{""decision"":""quarantine_source"",""legal_decision"":""needs_discussion"",""source_owner_decision"":""needs_discussion"",""license_status_decision"":""needs_discussion"",""allowed_runtime_scope"":""none""},""reject_source"":{""decision"":""reject_source"",""legal_decision"":""rejected"",""source_owner_decision"":""rejected"",""license_status_decision"":""rejected"",""allowed_runtime_scope"":""none""},""needs_discussion"":{""decision"":""needs_discussion"",""legal_decision"":""needs_discussion"",""source_owner_decision"":""needs_discussion"",""license_status_decision"":""needs_discussion"",""allowed_runtime_scope"":""none""},""pending_review"":{""decision"":""pending_review"",""legal_decision"":""pending_review"",""source_owner_decision"":""pending_review"",""license_status_decision"":""pending_legal_review"",""allowed_runtime_scope"":""none""}}",,,,,,,,,,external_reference,C,consultant-p1,source_redistribution_restricted,publish_client_deliverable|send_client_email|submit_rfp|commit_budget|approve_transaction|redistribute_source_text|expose_pii,production unchanged; no KB provider call; no live KB ingestion; no raw source redistribution; no staging deployment,"do not store secret values, raw tokens, passwords, private keys, or private contact details in this repository",none_questionnaire_only,python3 tmp/consultant_role_kb_manual_decision_intake_preflight_20260619.py
legal_source_owner,Q-LEGAL-SRC-CONSULT-010-20260619,SRC-CONSULT-010,Commercial Due Diligence Playbook 2024,李梁,,是否允许 SRC-CONSULT-010（Commercial Due Diligence Playbook 2024）进入 internal no-provider staging retrieval？如不允许，请选择 local-only、quarantine、reject、needs_discussion 或 pending_review。,approve_internal_staging_retrieval|approve_local_only|quarantine_source|reject_source|needs_discussion|pending_review,pending_review,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,shared/governance/consultant-agent/legal-source-owner-decisions.template-20260619.jsonl,LEGAL-SRC-CONSULT-010-20260619,"{""approve_internal_staging_retrieval"":{""decision"":""approve_internal_staging_retrieval"",""legal_decision"":""approved"",""source_owner_decision"":""approved"",""license_status_decision"":""approved_internal_staging_no_provider"",""allowed_runtime_scope"":""internal_no_provider_staging""},""approve_local_only"":{""decision"":""approve_local_only"",""legal_decision"":""approved"",""source_owner_decision"":""approved"",""license_status_decision"":""restricted_local_only"",""allowed_runtime_scope"":""local_draft_only""},""quarantine_source"":{""decision"":""quarantine_source"",""legal_decision"":""needs_discussion"",""source_owner_decision"":""needs_discussion"",""license_status_decision"":""needs_discussion"",""allowed_runtime_scope"":""none""},""reject_source"":{""decision"":""reject_source"",""legal_decision"":""rejected"",""source_owner_decision"":""rejected"",""license_status_decision"":""rejected"",""allowed_runtime_scope"":""none""},""needs_discussion"":{""decision"":""needs_discussion"",""legal_decision"":""needs_discussion"",""source_owner_decision"":""needs_discussion"",""license_status_decision"":""needs_discussion"",""allowed_runtime_scope"":""none""},""pending_review"":{""decision"":""pending_review"",""legal_decision"":""pending_review"",""source_owner_decision"":""pending_review"",""license_status_decision"":""pending_legal_review"",""allowed_runtime_scope"":""none""}}",,,,,,,,,,external_reference,C,consultant-p1,transaction_or_investment_context;source_redistribution_restricted,publish_client_deliverable|send_client_email|submit_rfp|commit_budget|approve_transaction|redistribute_source_text|expose_pii,production unchanged; no KB provider call; no live KB ingestion; no raw source redistribution; no staging deployment,"do not store secret values, raw tokens, passwords, private keys, or private contact details in this repository",none_questionnaire_only,python3 tmp/consultant_role_kb_manual_decision_intake_preflight_20260619.py
legal_source_owner,Q-LEGAL-SRC-CONSULT-022-20260619,SRC-CONSULT-022,Company Culture Diagnostic Guide,李梁,,是否允许 SRC-CONSULT-022（Company Culture Diagnostic Guide）进入 internal no-provider staging retrieval？如不允许，请选择 local-only、quarantine、reject、needs_discussion 或 pending_review。,approve_internal_staging_retrieval|approve_local_only|quarantine_source|reject_source|needs_discussion|pending_review,pending_review,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,shared/governance/consultant-agent/legal-source-owner-decisions.template-20260619.jsonl,LEGAL-SRC-CONSULT-022-20260619,"{""approve_internal_staging_retrieval"":{""decision"":""approve_internal_staging_retrieval"",""legal_decision"":""approved"",""source_owner_decision"":""approved"",""license_status_decision"":""approved_internal_staging_no_provider"",""allowed_runtime_scope"":""internal_no_provider_staging""},""approve_local_only"":{""decision"":""approve_local_only"",""legal_decision"":""approved"",""source_owner_decision"":""approved"",""license_status_decision"":""restricted_local_only"",""allowed_runtime_scope"":""local_draft_only""},""quarantine_source"":{""decision"":""quarantine_source"",""legal_decision"":""needs_discussion"",""source_owner_decision"":""needs_discussion"",""license_status_decision"":""needs_discussion"",""allowed_runtime_scope"":""none""},""reject_source"":{""decision"":""reject_source"",""legal_decision"":""rejected"",""source_owner_decision"":""rejected"",""license_status_decision"":""rejected"",""allowed_runtime_scope"":""none""},""needs_discussion"":{""decision"":""needs_discussion"",""legal_decision"":""needs_discussion"",""source_owner_decision"":""needs_discussion"",""license_status_decision"":""needs_discussion"",""allowed_runtime_scope"":""none""},""pending_review"":{""decision"":""pending_review"",""legal_decision"":""pending_review"",""source_owner_decision"":""pending_review"",""license_status_decision"":""pending_legal_review"",""allowed_runtime_scope"":""none""}}",,,,,,,,,,external_reference,C,consultant-p1,source_redistribution_restricted,publish_client_deliverable|send_client_email|submit_rfp|commit_budget|approve_transaction|redistribute_source_text|expose_pii,production unchanged; no KB provider call; no live KB ingestion; no raw source redistribution; no staging deployment,"do not store secret values, raw tokens, passwords, private keys, or private contact details in this repository",none_questionnaire_only,python3 tmp/consultant_role_kb_manual_decision_intake_preflight_20260619.py
legal_source_owner,Q-LEGAL-SRC-CONSULT-023-20260619,SRC-CONSULT-023,Competitive Intelligence Playbook v3 2024,李梁,,是否允许 SRC-CONSULT-023（Competitive Intelligence Playbook v3 2024）进入 internal no-provider staging retrieval？如不允许，请选择 local-only、quarantine、reject、needs_discussion 或 pending_review。,approve_internal_staging_retrieval|approve_local_only|quarantine_source|reject_source|needs_discussion|pending_review,pending_review,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,shared/governance/consultant-agent/legal-source-owner-decisions.template-20260619.jsonl,LEGAL-SRC-CONSULT-023-20260619,"{""approve_internal_staging_retrieval"":{""decision"":""approve_internal_staging_retrieval"",""legal_decision"":""approved"",""source_owner_decision"":""approved"",""license_status_decision"":""approved_internal_staging_no_provider"",""allowed_runtime_scope"":""internal_no_provider_staging""},""approve_local_only"":{""decision"":""approve_local_only"",""legal_decision"":""approved"",""source_owner_decision"":""approved"",""license_status_decision"":""restricted_local_only"",""allowed_runtime_scope"":""local_draft_only""},""quarantine_source"":{""decision"":""quarantine_source"",""legal_decision"":""needs_discussion"",""source_owner_decision"":""needs_discussion"",""license_status_decision"":""needs_discussion"",""allowed_runtime_scope"":""none""},""reject_source"":{""decision"":""reject_source"",""legal_decision"":""rejected"",""source_owner_decision"":""rejected"",""license_status_decision"":""rejected"",""allowed_runtime_scope"":""none""},""needs_discussion"":{""decision"":""needs_discussion"",""legal_decision"":""needs_discussion"",""source_owner_decision"":""needs_discussion"",""license_status_decision"":""needs_discussion"",""allowed_runtime_scope"":""none""},""pending_review"":{""decision"":""pending_review"",""legal_decision"":""pending_review"",""source_owner_decision"":""pending_review"",""license_status_decision"":""pending_legal_review"",""allowed_runtime_scope"":""none""}}",,,,,,,,,,external_reference,C,consultant-p1,source_redistribution_restricted,publish_client_deliverable|send_client_email|submit_rfp|commit_budget|approve_transaction|redistribute_source_text|expose_pii,production unchanged; no KB provider call; no live KB ingestion; no raw source redistribution; no staging deployment,"do not store secret values, raw tokens, passwords, private keys, or private contact details in this repository",none_questionnaire_only,python3 tmp/consultant_role_kb_manual_decision_intake_preflight_20260619.py
legal_source_owner,Q-LEGAL-SRC-CONSULT-002-20260619,SRC-CONSULT-002,Consulting Frameworks Toolkit from Umbrex,李梁,,是否允许 SRC-CONSULT-002（Consulting Frameworks Toolkit from Umbrex）进入 internal no-provider staging retrieval？如不允许，请选择 local-only、quarantine、reject、needs_discussion 或 pending_review。,approve_internal_staging_retrieval|approve_local_only|quarantine_source|reject_source|needs_discussion|pending_review,pending_review,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,shared/governance/consultant-agent/legal-source-owner-decisions.template-20260619.jsonl,LEGAL-SRC-CONSULT-002-20260619,"{""approve_internal_staging_retrieval"":{""decision"":""approve_internal_staging_retrieval"",""legal_decision"":""approved"",""source_owner_decision"":""approved"",""license_status_decision"":""approved_internal_staging_no_provider"",""allowed_runtime_scope"":""internal_no_provider_staging""},""approve_local_only"":{""decision"":""approve_local_only"",""legal_decision"":""approved"",""source_owner_decision"":""approved"",""license_status_decision"":""restricted_local_only"",""allowed_runtime_scope"":""local_draft_only""},""quarantine_source"":{""decision"":""quarantine_source"",""legal_decision"":""needs_discussion"",""source_owner_decision"":""needs_discussion"",""license_status_decision"":""needs_discussion"",""allowed_runtime_scope"":""none""},""reject_source"":{""decision"":""reject_source"",""legal_decision"":""rejected"",""source_owner_decision"":""rejected"",""license_status_decision"":""rejected"",""allowed_runtime_scope"":""none""},""needs_discussion"":{""decision"":""needs_discussion"",""legal_decision"":""needs_discussion"",""source_owner_decision"":""needs_discussion"",""license_status_decision"":""needs_discussion"",""allowed_runtime_scope"":""none""},""pending_review"":{""decision"":""pending_review"",""legal_decision"":""pending_review"",""source_owner_decision"":""pending_review"",""license_status_decision"":""pending_legal_review"",""allowed_runtime_scope"":""none""}}",,,,,,,,,,external_reference,C,consultant-p1,transaction_or_investment_context,publish_client_deliverable|send_client_email|submit_rfp|commit_budget|approve_transaction|redistribute_source_text|expose_pii,production unchanged; no KB provider call; no live KB ingestion; no raw source redistribution; no staging deployment,"do not store secret values, raw tokens, passwords, private keys, or private contact details in this repository",none_questionnaire_only,python3 tmp/consultant_role_kb_manual_decision_intake_preflight_20260619.py
legal_source_owner,Q-LEGAL-SRC-CONSULT-024-20260619,SRC-CONSULT-024,Consumer & Retail,李梁,,是否允许 SRC-CONSULT-024（Consumer & Retail）进入 internal no-provider staging retrieval？如不允许，请选择 local-only、quarantine、reject、needs_discussion 或 pending_review。,approve_internal_staging_retrieval|approve_local_only|quarantine_source|reject_source|needs_discussion|pending_review,pending_review,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,shared/governance/consultant-agent/legal-source-owner-decisions.template-20260619.jsonl,LEGAL-SRC-CONSULT-024-20260619,"{""approve_internal_staging_retrieval"":{""decision"":""approve_internal_staging_retrieval"",""legal_decision"":""approved"",""source_owner_decision"":""approved"",""license_status_decision"":""approved_internal_staging_no_provider"",""allowed_runtime_scope"":""internal_no_provider_staging""},""approve_local_only"":{""decision"":""approve_local_only"",""legal_decision"":""approved"",""source_owner_decision"":""approved"",""license_status_decision"":""restricted_local_only"",""allowed_runtime_scope"":""local_draft_only""},""quarantine_source"":{""decision"":""quarantine_source"",""legal_decision"":""needs_discussion"",""source_owner_decision"":""needs_discussion"",""license_status_decision"":""needs_discussion"",""allowed_runtime_scope"":""none""},""reject_source"":{""decision"":""reject_source"",""legal_decision"":""rejected"",""source_owner_decision"":""rejected"",""license_status_decision"":""rejected"",""allowed_runtime_scope"":""none""},""needs_discussion"":{""decision"":""needs_discussion"",""legal_decision"":""needs_discussion"",""source_owner_decision"":""needs_discussion"",""license_status_decision"":""needs_discussion"",""allowed_runtime_scope"":""none""},""pending_review"":{""decision"":""pending_review"",""legal_decision"":""pending_review"",""source_owner_decision"":""pending_review"",""license_status_decision"":""pending_legal_review"",""allowed_runtime_scope"":""none""}}",,,,,,,,,,external_reference,C,consultant-p1,source_redistribution_restricted,publish_client_deliverable|send_client_email|submit_rfp|commit_budget|approve_transaction|redistribute_source_text|expose_pii,production unchanged; no KB provider call; no live KB ingestion; no raw source redistribution; no staging deployment,"do not store secret values, raw tokens, passwords, private keys, or private contact details in this repository",none_questionnaire_only,python3 tmp/consultant_role_kb_manual_decision_intake_preflight_20260619.py
