source_id,source_title,domain,layer,source_type,source_uri,source_owner,owner_review_status,evidence_grade,workspace,version,collected_at,hash_sha256,record_count,pii_level,license_status,allowed_agents,blocked_actions,intake_status,notes
SRC-SCM-001,Inventory metric dictionary,supply-chain-kb,metrics-and-data,metric_dictionary,/Users/pray/project/ecom_ana_overview/scm/system_data/库存指标说明.md,current_thread_user,approved,B,scm-p1,2026-06-12,2026-06-18,4fa9dd87b740163662f84d83ce27c26de51d5d8d799e2b3777feeee1efef6525,unknown,none,not_applicable,replenishment-agent,"create_purchase_order;update_inventory;change_forecast;write_erp",ready_for_poc,"Upgraded by current-thread user instruction for P1 readonly PoC only. External formal owner role not independently verified. Not production ready."
SRC-SCM-002,ERP WMS inventory field dictionary,supply-chain-kb,crosswalk,field_dictionary,/Users/pray/project/ecom_ana_overview/scm/system_data/库存查询字段说明.xlsx,current_thread_user,approved,B,scm-p1,2026-06-03,2026-06-18,9224fbd8cb4237c316ce5656d732e21ee211118997edf69a4b3af9058f36bf18,16,low,not_applicable,replenishment-agent,"update_inventory;write_erp",ready_for_poc,"Upgraded by current-thread user instruction for P1 readonly PoC only. Export provenance still required before production use. Not production ready."
SRC-SCM-003,Replenishment SOP draft,supply-chain-kb,operations,draft_analysis,/Users/pray/project/ecom_ana_overview/scm/供应链成本指标全链路优化/（tactic）课题一：kp03-计划排产执行方案.md,scm_ops_owner,pending_review,C,scm-p1,2026-06-02,2026-06-18,ea52973103b5dc3f8b2ca44ed0f517f1577cc929fb13b2e592d5910caefaa882,unknown,none,not_applicable,replenishment-agent,"create_purchase_order;send_supplier_message;write_erp",registered,"Draft reconstructed plan and scheduling SOP found. The file states it is not a copy of the DingTalk original. Does not satisfy approved SOP gate."
SRC-SCM-004,Inventory aging report sample,supply-chain-kb,metrics-and-data,erp_export,/Users/pray/project/ecom_ana_overview/scm/system_data/库存周转-库龄20260601.xlsx,erp_system_owner,pending_review,C,scm-p1,2026-06-01,2026-06-18,e51befcf62a99ab4b6425d5eaa45533ba3d00c1d3406889e49802685b1b01bc4,unknown,low,not_applicable,replenishment-agent,"update_inventory;write_erp",registered,"Local export found and first 20000 non-empty rows sampled after worksheet dimension reset. Export parameters and owner review pending."
SRC-SCM-010,Warehouse master data,supply-chain-kb,crosswalk,erp_export,/Users/pray/project/ecom_ana_overview/scm/system_data/仓库资料导出_2026-06-04_20260604122810331.xlsx,erp_system_owner,pending_review,C,scm-p1,2026-06-04,2026-06-18,a9b240cffe47c377c66deeafbdb1515d39c984f7325cf08cf9b786d9eda5d968,409,low,not_applicable,replenishment-agent,"update_inventory;write_erp",registered,"Local warehouse master export found. Owner review and system export metadata pending."
SRC-SCM-011,SKU warehouse stock snapshot,supply-chain-kb,metrics-and-data,erp_export,/Users/pray/project/ecom_ana_overview/scm/system_data/仓库库存列表_20260602190444851.xlsx,erp_system_owner,pending_review,C,scm-p1,2026-06-02,2026-06-18,d5c2d2b5e8b84696023d8544dad6e04b645e3b0ffbf252ee2368f397c3b1075a,unknown,low,not_applicable,replenishment-agent,"update_inventory;write_erp",registered,"Local stock snapshot found. First 20000 non-empty rows sampled. Export parameters and owner review pending."
SRC-SCM-017,Slow-moving inventory SOP draft,supply-chain-kb,operations,draft_analysis,/Users/pray/project/ecom_ana_overview/scm/供应链成本指标全链路优化/（tactic）课题一：kp04-仓储与调拨协同执行方案.md,scm_ops_owner,pending_review,C,scm-p1,2026-06-02,2026-06-18,794fb5e37bcf5bb5d0b07e7f414a49255e352199887d44842c7151b1e0311a75,unknown,none,not_applicable,replenishment-agent,"update_inventory;write_erp",registered,"Draft slow-moving and aging governance rules found. Not approved SOP."
SRC-SCM-018,Transfer order SOP draft,supply-chain-kb,operations,draft_analysis,/Users/pray/project/ecom_ana_overview/scm/供应链成本指标全链路优化/（tactic）课题一：kp04-仓储与调拨协同执行方案.md,scm_ops_owner,pending_review,C,scm-p1,2026-06-02,2026-06-18,794fb5e37bcf5bb5d0b07e7f414a49255e352199887d44842c7151b1e0311a75,unknown,none,not_applicable,replenishment-agent,"update_inventory;write_erp",registered,"Draft transfer decision rules found. Target coverage and source coverage thresholds need owner approval before use."
SRC-SCM-021,FBA FBT inventory export sample,supply-chain-kb,metrics-and-data,erp_export,/Users/pray/project/ecom_ana_overview/scm/system_data/fba计划库存_20260602190118540.xlsx,erp_system_owner,pending_review,C,scm-p1,2026-06-02,2026-06-18,e7372a056b6ec8432b3c75493cd8e101ef23107c2ab10d70ffe315b295c3069d,unknown,low,not_applicable,replenishment-agent,"update_inventory;write_erp",registered,"Local FBA planned inventory export found. Companion FBT export hash 7b6c7867af3236c355c3c0e5dd54083544fe77c3a672c28918143fbc96d1984d also found."
SRC-SCM-022,Walmart inventory export sample,supply-chain-kb,metrics-and-data,erp_export,/Users/pray/project/ecom_ana_overview/scm/system_data/沃尔玛计划库存_20260602190140263.xlsx,erp_system_owner,pending_review,C,scm-p1,2026-06-02,2026-06-18,a7bcedba2a2b98e5e461562230068a856249892000299c9354da8abafb4872a5,2396,low,not_applicable,replenishment-agent,"update_inventory;write_erp",registered,"Local Walmart planned inventory export found. Owner review and export parameters pending."
SRC-SCM-023,Shopify planned inventory export sample,supply-chain-kb,metrics-and-data,erp_export,/Users/pray/project/ecom_ana_overview/scm/system_data/Shopify计划库存_20260602190146714.xlsx,erp_system_owner,pending_review,C,scm-p1,2026-06-02,2026-06-18,cef4b2d5fddc2444271a85e954c01ba27c83c82f93b24a737ffdf37e84daf282,unknown,low,not_applicable,replenishment-agent,"update_inventory;write_erp",registered,"Local Shopify planned inventory export found. First 20000 non-empty rows sampled. Owner review pending."
