source_id,source_title,domain,layer,source_type,source_uri,source_owner,owner_review_status,evidence_grade,workspace,version,collected_at,hash_sha256,record_count,pii_level,license_status,allowed_agents,blocked_actions,intake_status,notes
SRC-CONSULT-001,McKinsey Approach to Problem Solving from Umbrex,consulting-kb,methodology,external_reference,/Users/pray/project/kb/consult/McKinsey Approach to Problem Solving from Umbrex.pptx,李梁,owner_reviewed,C,consultant-p1,profiled-20260619,2026-06-19,17f897bcb3341b8d0544053dce9fb90bba61630e4d9091230895e60b71249798,80,none,pending_legal_review,consultant-agent,"publish_client_deliverable;send_client_email;submit_rfp;commit_budget;approve_transaction;redistribute_source_text;expose_pii",ready_for_poc,"Internal local P1 PoC allowed by user. Use for problem definition and issue-structuring method cards. No production use, no long source-text reproduction, no redistribution."
SRC-CONSULT-002,Consulting Frameworks Toolkit from Umbrex,consulting-kb,methodology,external_reference,/Users/pray/project/kb/consult/Consulting Frameworks Toolkit from Umbrex.pptx,李梁,owner_reviewed,C,consultant-p1,profiled-20260619,2026-06-19,c2ea7901b85eb27160192ce4b8cf6742a15765e9cef8cc6632e4527d4fa9352a,108,none,pending_legal_review,consultant-agent,"publish_client_deliverable;send_client_email;submit_rfp;commit_budget;approve_transaction;redistribute_source_text;expose_pii",ready_for_poc,"Internal local P1 PoC allowed by user. Use for consulting framework catalog and selection map. Source_type uses draft extension external_reference."
SRC-CONSULT-003,Project Kickoff Toolkit from Umbrex,consulting-kb,operations,external_reference,/Users/pray/project/kb/consult/Project Kickoff Toolkit from Umbrex.pptx,李梁,owner_reviewed,C,consultant-p1,profiled-20260619,2026-06-19,0a4829bad9a5b6cc7556e2be5664b75afb36446dc734408d82816ea1eb0f7ea2,40,none,pending_legal_review,consultant-agent,"publish_client_deliverable;send_client_email;submit_rfp;commit_budget;approve_transaction;redistribute_source_text;expose_pii",ready_for_poc,"Internal local P1 PoC allowed by user. Use for kickoff workflow, scope, deliverables, resources, and cadence cards."
SRC-CONSULT-004,Executive Summary Slides from Umbrex,consulting-kb,operations,external_reference,/Users/pray/project/kb/consult/Executive Summary Slides from Umbrex.pptx,李梁,owner_reviewed,C,consultant-p1,profiled-20260619,2026-06-19,852c8e069fb17a67fde692ffa3e43c2a71dc662514eb719fc8db5f55a852f32e,78,none,pending_legal_review,consultant-agent,"publish_client_deliverable;send_client_email;submit_rfp;commit_budget;approve_transaction;redistribute_source_text;expose_pii",ready_for_poc,"Internal local P1 PoC allowed by user. Use for executive-summary structure cards, not final client slide generation."
SRC-CONSULT-005,Proposal template for a consulting project,consulting-kb,operations,external_reference,/Users/pray/project/kb/consult/Proposal-template-for-a-consulting-project.docx,李梁,owner_reviewed,C,consultant-p1,profiled-20260619,2026-06-19,ca75afc70f4522eecd29628e92e9e513cfbd1d74dbe9e55d7c1d8370ecb5eb9f,36,none,pending_legal_review,consultant-agent,"publish_client_deliverable;send_client_email;submit_rfp;commit_budget;approve_transaction;redistribute_source_text;expose_pii",ready_for_poc,"Internal local P1 PoC allowed by user. Use for proposal section taxonomy and review checklist only; submit_rfp remains blocked."
SRC-CONSULT-006,RFP Playbook,consulting-kb,operations,external_reference,/Users/pray/project/kb/consult/RFP Playbook.pdf,李梁,owner_reviewed,C,consultant-p1,profiled-20260619,2026-06-19,b91883bc30b5224dc52e58ebfc73dd9c2d0a0c64ac5b470ca04ac17a627ce35b,156,none,pending_legal_review,consultant-agent,"publish_client_deliverable;send_client_email;submit_rfp;commit_budget;approve_transaction;redistribute_source_text;expose_pii",ready_for_poc,"Internal local P1 PoC allowed by user. Use for RFP process and vendor-selection playbook cards."
SRC-CONSULT-007,Supply Chain Diagnostic Guide,consulting-kb,methodology,external_reference,/Users/pray/project/kb/consult/Supply Chain Diagnostic Guide.pdf,李梁,owner_reviewed,C,consultant-p1,profiled-20260619,2026-06-19,de92082cddab4b8a1bd3ff539212f427ffc9dd58dd7fa228f148002a827d6437,56,none,pending_legal_review,consultant-agent,"publish_client_deliverable;send_client_email;submit_rfp;commit_budget;approve_transaction;redistribute_source_text;expose_pii",ready_for_poc,"Internal local P1 PoC allowed by user. Use for diagnostic data request, interview role, and scorecard structure."
SRC-CONSULT-008,Umbrex Business Analytics Diagnostic Guide,consulting-kb,methodology,external_reference,/Users/pray/project/kb/consult/Umbrex Business Analytics Diagnostic Guide.pdf,李梁,owner_reviewed,C,consultant-p1,profiled-20260619,2026-06-19,49b5d0566b544d9c24d2d72294bb6506cd36af76948f62af9f65148488e55663,43,none,pending_legal_review,consultant-agent,"publish_client_deliverable;send_client_email;submit_rfp;commit_budget;approve_transaction;redistribute_source_text;expose_pii",ready_for_poc,"Internal local P1 PoC allowed by user. Use for analytics diagnostic dimensions and scorecard structure."
SRC-CONSULT-009,Umbrex Customer Experience Diagnostic Guide,consulting-kb,methodology,external_reference,/Users/pray/project/kb/consult/Umbrex Customer Experience Diagnostic Guide Firs.pdf,李梁,owner_reviewed,C,consultant-p1,profiled-20260619,2026-06-19,318351bcf459327dabacca11353523a6a65888b1842f7c69b098f5e7cfcf3c7c,57,none,pending_legal_review,consultant-agent,"publish_client_deliverable;send_client_email;submit_rfp;commit_budget;approve_transaction;redistribute_source_text;expose_pii",ready_for_poc,"Internal local P1 PoC allowed by user. Use for customer experience diagnostic structure."
SRC-CONSULT-010,Commercial Due Diligence Playbook 2024,consulting-kb,methodology,external_reference,/Users/pray/project/kb/consult/Commercial Due Diligence Playbook 2024.pdf,李梁,owner_reviewed,C,consultant-p1,profiled-20260619,2026-06-19,1cbbe17a4cd9cbacae3e41533255335a2178a5a062b4df9ae354e8abc9a3e32f,103,none,pending_legal_review,consultant-agent,"publish_client_deliverable;send_client_email;submit_rfp;commit_budget;approve_transaction;redistribute_source_text;expose_pii",ready_for_poc,"Internal local P1 PoC allowed by user. Use for CDD workstream and diligence question map. approve_transaction remains blocked."
